A0_objective,A1_objective,absolute_objective_difference,objective_tolerance,objective_agreement,max_absolute_Q_difference,max_absolute_F_difference,R_equal,first_stage_hash_equal,worst_loss_difference,worst_loss_agreement,worst_scenario_equal,A0_full_exact_certificate,A1_full_exact_certificate,decision_equivalent,classification,row_sha256,benchmark_instance_id,replicate_id,item_size
1315394919.287888,1315394919.287888,0.0,1.3153950192878883,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,69d38c1a2eae60a1fce27ef83f72474898f7dfa11f6cb7ff1a0c37ffaf429134,E5C-R01-I3,E5C-R01,3
2760748724.021613,2760748724.021613,0.0,2.760748824021613,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,0e8c080f42e4f95bd39f9f9d9826f78f24f1d1fb4fc5792c898ddbf44ecfe3a2,E5C-R01-I6,E5C-R01,6
4135796945.311725,4135796945.311725,0.0,4.135797045311726,True,0.0,0.0,False,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,6f2791f6d309c5ecd8373311bd57efc9bfe79155e4ee8bbd93d8fe67bced3955,E5C-R01-I9,E5C-R01,9
1484641543.303225,1484641543.303225,0.0,1.4846416433032252,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,2eb8ef359a8a276a1757deb0589c55e2a8e2baef292b4eff08078a742fdee495,E5C-R02-I3,E5C-R02,3
2831093636.378687,2831093636.378687,0.0,2.831093736378687,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,127cb963bb80b24fb1070a9554aa410b7d7d87c84983892735e3f02de9012cd3,E5C-R02-I6,E5C-R02,6
4377888154.249019,4377888154.249019,0.0,4.37788825424902,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,7ceb3e44c4056cbf8b76516c5ae20fc08c0abc6dc5c9695f835a9ba4ad76e29a,E5C-R02-I9,E5C-R02,9
287117838.06596327,287117838.06596327,0.0,0.2871179380659633,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,b1c5f3c8e9638791a4c9549d2f2d58b5e179341bd26f693579d83817f1b8f585,E5C-R03-I3,E5C-R03,3
531046237.84987926,531046237.84987926,0.0,0.5310463378498792,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,9607b597b3bd0f591ebad4886273aadf262f7edbd752e2b769f90a75a9e60188,E5C-R03-I6,E5C-R03,6
835463499.3920823,835463499.3920823,0.0,0.8354635993920824,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,d13615ddc3204753e146fb82e4489497ee8f426ebbf6d7f2be71fe1219f2431b,E5C-R03-I9,E5C-R03,9
1468417796.868519,1468417796.868519,0.0,1.4684178968685193,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,33bdfe67d12d21c20a2a28641ebc621577f1420d52c60fe982c11693f2af12ff,E5C-R04-I3,E5C-R04,3
2840612679.1806746,2840612679.1806746,0.0,2.840612779180675,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,f0266ba29afa393f97202fbea2efa9aa72f6ae4638b24c297423416d558d4913,E5C-R04-I6,E5C-R04,6
4058658089.8996944,4058658089.8996944,0.0,4.058658189899695,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,dd879172b28dc7a894760c411c989b63c0281dfed858e276f6a925a1c2e09a35,E5C-R04-I9,E5C-R04,9
1238261591.9138079,1238261591.9138079,0.0,1.238261691913808,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,aa87e147bf43b805a328d4e774794263a8bc703dc5b64108120d7ede0e513687,E5C-R05-I3,E5C-R05,3
2642511526.735126,2642511526.735126,0.0,2.642511626735126,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,3f4b24f9d680cc8d6e11730f20fe8cf59b21d9db12b09c913fdb855600128809,E5C-R05-I6,E5C-R05,6
4067063555.7227583,4067063555.7227583,0.0,4.067063655722759,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,3d6bd53e1191e534d51d2685fb038661881a045c70dc46a66d2aaa71b8120b11,E5C-R05-I9,E5C-R05,9
1296084108.5866218,1296084108.586622,2.384185791015625e-07,1.2960842085866222,True,0.0,395449636.1207556,False,False,2.384185791015625e-07,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,954484fdc59b3a1308286cc315bce2b6e760c825e5d153c680bb2a4f5cd88dbf,E5C-R06-I3,E5C-R06,3
2594044894.323623,2594044894.323623,0.0,2.5940449943236232,True,0.0,0.0,False,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,47c87e2ecaa0696871effabef3f4103bf1838227dd5700c9381d61287b14e863,E5C-R06-I6,E5C-R06,6
4010642754.430049,4010642754.430049,0.0,4.010642854430049,True,0.0,1141993231.6583142,False,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,904e99e0e33568a110401123058c0195bc3f58f9c5990ef28e578427fa874d31,E5C-R06-I9,E5C-R06,9
1657781135.2902586,1657781135.2902586,0.0,1.6577812352902588,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,137389cca694a1f2ba4afdaecb1511feca543fd088c0600340b6a90c794758c8,E5C-R07-I3,E5C-R07,3
3225945196.293537,3225945196.293537,0.0,3.225945296293537,True,0.0,10222113.725620626,True,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,4fb4fb5a97cc1f53b20ed18a80fc076d8e10c1edc4c8ae6361188475003fcbdf,E5C-R07-I6,E5C-R07,6
4464293907.608055,4464293907.608055,0.0,4.464294007608055,True,0.0,135268400.03912073,True,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,c1a4007221e3d7bd6abba406bd76deb6c05abcda7b607e044cd6c36ee4172be6,E5C-R07-I9,E5C-R07,9
1046134108.5264596,1046134108.5264596,0.0,1.0461342085264598,True,0.0,58784156.68518141,True,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,4675ddffefd9ad654bb4934f08d4f7b9228565238d48b2d0cea7ee0b5c61b05e,E5C-R08-I3,E5C-R08,3
2407556079.024775,2407556079.024775,0.0,2.407556179024775,True,0.0,584489918.4233303,False,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,4ad5201c32e7169712adfc355d8cb3497768b7078924f16216999058f392a212,E5C-R08-I6,E5C-R08,6
