case_id,simulation_id,sample_index,input_sha256,original_status,original_failure_type,original_result_sha256,replay_status,reproduced_oracle_failure,failure_stage,decision_role,first_stage_sha256,failing_scenarios,failing_scenario_count,iterations,complete_full_exact_certification_calls,infeasible_scenarios,scenario_taxonomy,replay_evidence_sha256
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,oracle_failure,oracle_failure,39f1b5f732f52e6ba1fb1f1483f3ce2310276fd46cc80e42caa7ab03002b9036,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h09,1,3,1,h09,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",021d379f8f47a8d01897c4c6c166e4c87456c27d4611adf14c26a8e87927ae6b
E2A_VACCINE_H0,LA-0061,61,cd7ba256524cb036f33013c1005baf2ca2bf23e5fdc7a9fa10871d5c2a2e0738,oracle_failure,oracle_failure,cc7baef01cc7f6b1092b39de7455e84b6f6936db02e3f7d89079434272aa4f30,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,b6006f880a8b3eea3a25dd9d053e6f0621e8f6635ce65ae531f4d1bbbf4e3d7c,h19,1,3,1,h19,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",a5652102a722b7a6f9db85233a2d0dc0e2ca5467499f67453cb62471d8a20d97
E2A_VACCINE_H0,LA-0062,62,0a8476101aed9a3c938c73fcf4aa585e93a174a4346c5bbb4dd77fc8e931e499,oracle_failure,oracle_failure,ce439cde5c107b3a8bb56c0f64820f2a24f97e73db9a7711ec6cb24f231fc115,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,1728d01c0e5c7784e5e1266e6030f7240c8e50b09049bbf6b79a3cbd00ec4166,h19,1,3,1,h19,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",d8ac47a29f5a8c46657222639689d326e05f98643f312bc7af90d216787d6354
E2A_VACCINE_H0,LA-0065,65,d256eadfc4945b86a5b851692b96cf9234577168b1f35668db33d3fc2eb72510,oracle_failure,oracle_failure,1d9a3494caf224650dc23482ba21b0cb037026e81a2b41d325452daa5ed15b03,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,2f3d117aa14546a151d7239de149c8486de87c68d35c5aaea1f2ed050ba370ad,h09,1,3,1,h09,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",a074f4cde66200b2c6168d88298c522c899517a28bcdd02f104d9d160054b819
E2A_VACCINE_H0,LA-0080,80,767df1245d20d80741dfd4fbe80031014f35f4df4a9f845ee1a0c50bb9fc1ab8,oracle_failure,oracle_failure,99ce73ef05503c49cb8cb73ec752dfe9fbba96b3e068852a3cd886fffc11049b,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,df9bcfcb8daa742512fe490483a0e94fb5f2855c5c2bd24d0c778843b171ee46,h09,1,3,1,h09,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",8ea161fbb2da2927ac59534226d2b3f597e8fdd0bf2aea906d90d3b37e230801
E2A_VACCINE_H0,LA-0116,116,eee7d7cadd2df98a957bcce527a651580363520b9b2911b3872414e22cc8b5f2,oracle_failure,oracle_failure,738019bd636888f9a0b70cbc220dd26e513fd86c36c3eac085fcb725b31482b0,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,bf8d63836de2f00c7190e8cfcd1261267617358e6f46e46063410504bd8970c5,h19,1,3,1,h19,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",4df0cffcbb9e40c96c8c6b57044da2c3d3dd32f946782fc13486d758c895fe41
E2A_VACCINE_H0,LA-0186,186,ad1879d20a25fa7fb3a6a0748ebcb2db03bb2ffdfd6666f96c0b3d44fc01510f,oracle_failure,oracle_failure,c57b07f985c5977e4981f80a47f41d14d71cd0e5a9432baa9817b3ecac1c845e,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,5de06b8de0045c4bf5674f713ef6d340b0a63d91b36164df3e10ad6412110c30,h09,1,3,1,h09,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",547e7dd7ad42694a87cc9be39ddf94538a860d6a3ad677529ad406222ce5f948
E2A_VACCINE_H0,LA-0208,208,86f8dee9613183fc59f97a4e65221bcd624a99be001735564d47f13ecd95937f,oracle_failure,oracle_failure,7079a403ca68b545b67c89d565fdc4eb3ed595e0aba68e91e7ebf717f478dbd9,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,8ef998eca072c5e4eee8836e9dcc2c124906f3777c2df4f886100b99acf09bee,h17;h19;h20,3,3,1,h17;h19;h20,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":3,""OPTIMAL"":21}",0a1e3a006f108da1aff124526402cf731e7698d743777055e809cb79dcd12811
E2A_VACCINE_H0,LA-0252,252,ebcbb6754023d7b2880c4a4e4a2478d6a78d4c0fd647ff136422e5364d6081e5,oracle_failure,oracle_failure,b3b484c380aa4819cffdb8205ed709f647bdbe3d4208b4e48847aaa05d522454,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,bf8101e555644459c429bb2154c14d1181139dbba5d2c404f962fb508397eec2,h09,1,3,1,h09,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",afd97366e414e294de1a53d478a2458447ca10c83eb432bae78b539bd5037077
E2A_VACCINE_H0,LA-0256,256,5128bcece17cb3a18b6cd3de9cea9319781eb35b13a59ecbc186a3a22e80cc55,oracle_failure,oracle_failure,a91c17c5e68303a55ff6cc4f9a347c2bc2bf552cc8c21e95a3219279292de178,oracle_failure,True,FULL_EXACT_CERTIFICATION,FAILED_FULL_CERTIFICATION_DECISION,0a5f21da19ce56b0740aca99a2ed1beb5277346de7e0b8cdba49e3baca751db0,h19,1,3,1,h19,"{""A_SOLVER_INFEASIBLE_BUT_ORIGINAL_WITNESS_FEASIBLE"":1,""OPTIMAL"":23}",55f4d5d3713eb4e3e26fd9917f627df68a370d7997cc216b829f4b905a73b1a5
